Year_Display_CN,Day_Display_Eng,Mouth_Display_Eng,Year_Display_Eng,Weekday_Eng,Weekday_CN,Lunar,up,Weather_1,Weather_2,Weather_3,Tip,IsHoliday
丁未羊年,19,January,2027,Tuesday,星期二,臘月十二,我在何地,晴天,陰天,雨天,距離農曆新年假期仲剩15日，心情開始興奮！,FALSE
丁未羊年,20,January,2027,Wednesday,星期三,臘月十三,我在何地,晴天,陰天,雨天,聽日又係Happy Friday，時間過得真快！,FALSE
丁未羊年,21,January,2027,Thursday,星期四,臘月十四,我在何地,晴天,陰天,雨天,本週最後一個工作天，完成手頭工作準備過週末。,FALSE
丁未羊年,22,January,2027,Friday,星期五,臘月十五,我在何地,晴天,陰天,雨天,週末，約埋屋企人去食團年飯。,FALSE
丁未羊年,23,January,2027,Saturday,星期六,臘月十六,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週。,ture
丁未羊年,24,January,2027,Sunday,星期日,臘月十七,我在何地,晴天,陰天,雨天,Monday Blue，但諗起就快放假又覺得好？,ture
丁未羊年,25,January,2027,Monday,星期一,臘月十八,我在何地,晴天,陰天,雨天,距離農曆新年長假仲有10日！,FALSE
丁未羊年,26,January,2027,Tuesday,星期二,臘月十九,我在何地,晴天,陰天,雨天,今日宜：辦公室摸魚。忌：太勤力嚇親隔離位。,FALSE
丁未羊年,27,January,2027,Wednesday,星期三,臘月二十,我在何地,晴天,陰天,雨天,請假Alert：農曆新年「請3放9」最後召集！未請？快手！,FALSE
丁未羊年,28,January,2027,Thursday,星期四,臘月廿一,我在何地,晴天,陰天,雨天,聽日就係週末，今晚可以放肆一下。,FALSE
丁未羊年,29,January,2027,Friday,星期五,臘月廿二,我在何地,晴天,陰天,雨天,週末，開始規劃新年行程！,FALSE
丁未羊年,30,January,2027,Saturday,星期六,臘月廿三,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週。,ture
丁未羊年,31,January,2027,Sunday,星期日,臘月廿四,我在何地,晴天,陰天,雨天,年度卸責啟動日：有咩過咗年先算啦！,ture
丁未羊年,1,February,2027,Monday,星期一,臘月廿五,我在何地,晴天,陰天,雨天,年度卸責啟動日：有咩過咗年先算啦！,FALSE
丁未羊年,2,February,2027,Tuesday,星期二,臘月廿六,我在何地,晴天,陰天,雨天,距離收爐仲有3日，請維持辦公室隱形人狀態。,FALSE
丁未羊年,3,February,2027,Wednesday,星期三,臘月廿七,我在何地,晴天,陰天,雨天,辦公室大掃除：將文件疊高啲，營造我很忙的錯覺。,FALSE
丁未羊年,4,February,2027,Thursday,星期四,臘月廿八，立春,我在何地,晴天,陰天,雨天,春天開始！準備迎接炎炎夏日未？,FALSE
丁未羊年,5,February,2027,Friday,星期五,臘月廿九,我在何地,晴天,陰天,雨天,今日收爐：請撕下此頁貼於電腦芒，然後平安下班。,FALSE
丁未羊年,6,February,2027,Saturday,星期六,正月初一,我在何地,晴天,陰天,雨天,恭喜發財：祝老闆身體健康加人工。,ture
丁未羊年,7,February,2027,Sunday,星期日,正月初二,我在何地,晴天,陰天,雨天,初二開年：食完開年飯，繼續掛住放假既事。,ture
丁未羊年,8,February,2027,Monday,星期一,正月初三,我在何地,晴天,陰天,雨天,赤口：今日唔好去拜年，留喺屋企睇日曆學請假攻略。,ture
丁未羊年,9,February,2027,Tuesday,星期二,正月初四,我在何地,晴天,陰天,雨天,公眾假期：最後一日假期，請調整心情。,ture
丁未羊年,10,February,2027,Wednesday,星期三,正月初五,我在何地,晴天,陰天,雨天,返工啦喂！溫馨提示：如果你仲未請假，今年新年假得4日。,FALSE
丁未羊年,11,February,2027,Thursday,星期四,正月初六,我在何地,晴天,陰天,雨天,請咗假既同事繼續Happy，未請既繼續望住個Mon微笑。,FALSE
丁未羊年,12,February,2027,Friday,星期五,正月初七,我在何地,晴天,陰天,雨天,人日，請準時收工去慶祝。撐埋今日就週末！,FALSE
丁未羊年,13,February,2027,Saturday,星期六,正月初八,我在何地,晴天,陰天,雨天,週末補血中......,ture
丁未羊年,14,February,2027,Sunday,星期日,正月初九,我在何地,晴天,陰天,雨天,情人節，祝各位打工仔同工作呢位情人長相廝守。,ture
丁未羊年,15,February,2027,Monday,星期一,正月初十,我在何地,晴天,陰天,雨天,新年過完，係時候望下個Mon規劃下一個假期啦！,FALSE
丁未羊年,16,February,2027,Tuesday,星期二,正月十一,我在何地,晴天,陰天,雨天,請假Alert：復活節「請4放11」行動！今日入紙請3/30至4/2！,FALSE
丁未羊年,17,February,2027,Wednesday,星期三,正月十二,我在何地,晴天,陰天,雨天,老細見到你今日咁積極入紙，一定知你心思思去旅行。,FALSE
丁未羊年,18,February,2027,Thursday,星期四,正月十三,我在何地,晴天,陰天,雨天,距離復活節假期仲有40日。倒數開始！,FALSE
丁未羊年,19,February,2027,Friday,星期五,正月十四，雨水,我在何地,晴天,陰天,雨天,天氣開始回暖，小心身體唔好感冒。,FALSE
丁未羊年,20,February,2027,Saturday,星期六,正月十五,我在何地,晴天,陰天,雨天,元宵節快樂！祝各位OT少啲，準時拍拖！,ture
丁未羊年,21,February,2027,Sunday,星期日,正月十六,我在何地,晴天,陰天,雨天,週末叉電，準備下星期既搏殺。,ture
丁未羊年,22,February,2027,Monday,星期一,正月十七,我在何地,晴天,陰天,雨天,星期一，Monday Blue係正常既，唔好太介懷。,FALSE
丁未羊年,23,February,2027,Tuesday,星期二,正月十八,我在何地,晴天,陰天,雨天,努力工作，為既就係下一次既請假批准。,FALSE
丁未羊年,24,February,2027,Wednesday,星期三,正月十九,我在何地,晴天,陰天,雨天,距離復活節仲有成個月，心累。,FALSE
丁未羊年,25,February,2027,Thursday,星期四,正月二十,我在何地,晴天,陰天,雨天,今日宜：飲咖啡。忌：同老細開長會。,FALSE
丁未羊年,26,February,2027,Friday,星期五,正月廿一,我在何地,晴天,陰天,雨天,本週最後一戰，捱過佢就係週末！,FALSE
丁未羊年,27,February,2027,Saturday,星期六,正月廿二,我在何地,晴天,陰天,雨天,週末愉快，記得唔好睇公事Email！,ture
丁未羊年,28,February,2027,正月廿三,星期日,正月廿三,我在何地,晴天,陰天,雨天,二月最後一日，年假仲剩幾多日？,ture
丁未羊年,1,March,2027,Monday,星期一,正月廿四,我在何地,晴天,陰天,雨天,三月你好！復活節月正式開始！,FALSE
丁未羊年,2,March,2027,Tuesday,星期二,正月廿五,我在何地,晴天,陰天,雨天,如果你未入紙請復活節假，你同事已經準備買機票去日本了。,FALSE
丁未羊年,3,March,2027,Wednesday,星期三,正月廿六,我在何地,晴天,陰天,雨天,今日宜：辦公室摸魚。忌：太勤力嚇親隔離位。,FALSE
丁未羊年,4,March,2027,Thursday,星期四,正月廿七,我在何地,晴天,陰天,雨天,距離復活節長假仲有22日，忍住！,FALSE
丁未羊年,5,March,2027,Friday,星期五,正月廿八,我在何地,晴天,陰天,雨天,本週最後一個工作天，聽日就係週末！,FALSE
丁未羊年,6,March,2027,Saturday,星期六,正月廿九，驚蟄,我在何地,晴天,陰天,雨天,今日宜打小人，針對平時鍾意Push野嘅客。,ture
丁未羊年,7,March,2027,Sunday,星期日,正月三十,我在何地,晴天,陰天,雨天,週末，好好放鬆心情，迎接新一週。,ture
丁未羊年,8,March,2027,Monday,星期一,二月初一,我在何地,晴天,陰天,雨天,國際婦女節，向所有職場女性致敬！,FALSE
丁未羊年,9,March,2027,Tuesday,星期二,二月初二,我在何地,晴天,陰天,雨天,聽日係請4放11嘅Deadline啦！仲未交信嘅快手,FALSE
丁未羊年,10,March,2027,Wednesday,星期三,二月初三,我在何地,晴天,陰天,雨天,復活節請假死線最後召集！再唔交信就無位飛！,FALSE
丁未羊年,11,March,2027,Thursday,星期四,二月初四,我在何地,晴天,陰天,雨天,今日入紙請假嘅勇士，應該已經獲得HR批准！恭喜！,FALSE
丁未羊年,12,March,2027,Friday,星期五,二月初五,我在何地,晴天,陰天,雨天,今日心情特別好，因為已經準備好放長假！,FALSE
丁未羊年,13,March,2027,Saturday,星期六,二月初六,我在何地,晴天,陰天,雨天,週末，開始規劃復活節行程！,ture
丁未羊年,14,March,2027,Sunday,星期日,二月初七,我在何地,晴天,陰天,雨天,白色情人節，記得回禮唔好失禮人。,ture
丁未羊年,15,March,2027,Monday,星期一,二月初八,我在何地,晴天,陰天,雨天,距離復活節假期仲剩11日，返工都特別有動力！,FALSE
丁未羊年,16,March,2027,Tuesday,星期二,二月初九,我在何地,晴天,陰天,雨天,今日宜：飲咖啡提神。忌：同老細講我仲想放假。,FALSE
丁未羊年,17,March,2027,Wednesday,星期三,二月初十,我在何地,晴天,陰天,雨天,今日宜：提早收工。忌：OT冇補水。,FALSE
丁未羊年,18,March,2027,Thursday,星期四,二月十一,我在何地,晴天,陰天,雨天,忍耐！仲有8個工作天就放長假！,FALSE
丁未羊年,19,March,2027,Friday,星期五,二月十二,我在何地,晴天,陰天,雨天,本週過後，下個星期就係復活節長假啦！,FALSE
丁未羊年,20,March,2027,Saturday,星期六,二月十三，春分,我在何地,晴天,陰天,雨天,天氣開始變暖，提醒你要減肥準備去沙灘。,ture
丁未羊年,21,March,2027,Sunday,星期日,二月十四,我在何地,晴天,陰天,雨天,最後一個週末準備日，執好行李未？,ture
丁未羊年,22,March,2027,Monday,星期一,二月十五,我在何地,晴天,陰天,雨天,今個星期返工嘅唯一目標：交帶好手頭工作！,FALSE
丁未羊年,23,March,2027,Tuesday,星期二,二月十六,我在何地,晴天,陰天,雨天,老細問起進度，統一回答：放完假返嚟先處理！,FALSE
丁未羊年,24,March,2027,Wednesday,星期三,二月十七,我在何地,晴天,陰天,雨天,今日收工就係請4放11嘅大日子！大解放！,FALSE
丁未羊年,25,March,2027,Thursday,星期四,二月十八,我在何地,晴天,陰天,雨天,今日裝定個Out of Office Email，然後熄機去玩！,FALSE
丁未羊年,26,March,2027,Friday,星期五,二月十九,我在何地,晴天,陰天,雨天,公眾假期：復活節快樂！遠離公司，享受生活！,ture
丁未羊年,27,March,2027,Saturday,星期六,二月二十,我在何地,晴天,陰天,雨天,公眾假期：復活節連假第二天，暫時忘記工作煩惱。,ture
丁未羊年,28,March,2027,Sunday,星期日,二月廿一,我在何地,晴天,陰天,雨天,復活節星期日：復活節彩蛋搵唔搵到唔重要，最緊要老細搵唔到你。,ture
丁未羊年,29,March,2027,Monday,星期一,二月廿二,我在何地,晴天,陰天,雨天,公眾假期：復活節最後一日假，今晚記得早啲瞓。,ture
丁未羊年,30,March,2027,Tuesday,星期二,二月廿三,我在何地,晴天,陰天,雨天,請假Day 1：唔好意思，今日我唔喺公司。,FALSE
丁未羊年,31,March,2027,Wednesday,星期三,二月廿四,我在何地,晴天,陰天,雨天,請假Day 2：繼續Happy，盡情享受假期,FALSE
丁未羊年,1,April,2027,Thursday,星期四,二月廿五,我在何地,晴天,陰天,雨天,請假Day 3：愚人節，如果老細打電話叫你返工，記得話係愚人節！,FALSE
丁未羊年,2,April,2027,Friday,星期五,二月廿六,我在何地,晴天,陰天,雨天,請假Day 4：長假結束前夕，準備收心養神。,FALSE
丁未羊年,3,April,2027,Saturday,星期六,二月廿七,我在何地,晴天,陰天,雨天,週末，收實心情準備返歸。順便提自己後日係清明節。,FALSE
丁未羊年,4,April,2027,Sunday,星期日,二月廿八,我在何地,晴天,陰天,雨天,週末，好好休息，準備迎接聽日清明節假期。,ture
丁未羊年,5,April,2027,Monday,星期一,二月廿九，清明,我在何地,晴天,陰天,雨天,公眾假期：清明節，掃墓祭祖，把握假期同屋企人聚下。,FALSE
丁未羊年,6,April,2027,Tuesday,星期二,二月三十,我在何地,晴天,陰天,雨天,返工第一日，請保持鎮定，雖然你已經唔記得Password。,FALSE
丁未羊年,7,April,2027,Wednesday,星期三,三月初一,我在何地,晴天,陰天,雨天,今日宜：飲濃茶提神。忌：面對現實。,FALSE
丁未羊年,8,April,2027,Thursday,星期四,三月初二,我在何地,晴天,陰天,雨天,睇住個月曆，開始計劃下一個長假。,FALSE
丁未羊年,9,April,2027,Friday,星期五,三月初三,我在何地,晴天,陰天,雨天,本週終於結束，感覺好似過咗一個世紀。,FALSE
丁未羊年,10,April,2027,Saturday,星期六,三月初四,我在何地,晴天,陰天,雨天,週末，好好補眠，修復請假玩樂後嘅疲憊身軀。,ture
丁未羊年,11,April,2027,Sunday,星期日,三月初五,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週嘅挑戰。,ture
丁未羊年,12,April,2027,Monday,星期一,三月初六,我在何地,晴天,陰天,雨天,星期一，Monday Blue正常發揮。,FALSE
丁未羊年,13,April,2027,Tuesday,星期二,三月初七,我在何地,晴天,陰天,雨天,努力工作，證明你雖然放過長假，但仲有利用價值。,FALSE
丁未羊年,14,April,2027,Wednesday,星期三,三月初八,我在何地,晴天,陰天,雨天,距離佛誕仲有大約一個月，加油！,FALSE
丁未羊年,15,April,2027,Thursday,星期四,三月初九,我在何地,晴天,陰天,雨天,請假Alert：佛誕快閃請1放4行動！今日入紙請,FALSE
丁未羊年,16,April,2027,Friday,星期五,三月初十,我在何地,晴天,陰天,雨天,聽日就係週末，今晚可以放肆一下。,FALSE
丁未羊年,17,April,2027,Saturday,星期六,三月十一,我在何地,晴天,陰天,雨天,週末，天氣好適合去行山或者郊遊。,ture
丁未羊年,18,April,2027,Sunday,星期日,三月十二,我在何地,晴天,陰天,雨天,放假前夕，記得做個精明嘅消費者，睇清優惠條款。,ture
丁未羊年,19,April,2027,Monday,星期一,三月十三,我在何地,晴天,陰天,雨天,Monday Blue，睇返啲復活節相開心下。,FALSE
丁未羊年,20,April,2027,Tuesday,星期二,三月十四，穀雨,我在何地,晴天,陰天,雨天,春天最後一個節氣，意味住夏天好快到。,FALSE
丁未羊年,21,April,2027,Wednesday,星期三,三月十五,我在何地,晴天,陰天,雨天,今日宜：準時收工。忌：加班。,FALSE
丁未羊年,22,April,2027,Thursday,星期四,三月十六,我在何地,晴天,陰天,雨天,聽日又係Happy Friday，時間過得真快,FALSE
丁未羊年,23,April,2027,Friday,星期五,三月十七,我在何地,晴天,陰天,雨天,本週最後一個工作天，完成手頭工作準備過週末。,FALSE
丁未羊年,24,April,2027,Saturday,星期六,三月十八,我在何地,晴天,陰天,雨天,週末，約埋班Friend去食Tea或者睇戲。,ture
丁未羊年,25,April,2027,Sunday,星期日,三月十九,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週。,ture
丁未羊年,26,April,2027,Monday,星期一,三月二十,我在何地,晴天,陰天,雨天,星期一，繼續為生活打拼。,FALSE
丁未羊年,27,April,2027,Tuesday,星期二,三月廿一,我在何地,晴天,陰天,雨天,距離佛誕長假仲有16日，期待快閃之旅！,FALSE
丁未羊年,28,April,2027,Wednesday,星期三,三月廿二,我在何地,晴天,陰天,雨天,今日宜：飲珍珠奶茶獎勵自己。忌：諗起堆積如山嘅工作。,FALSE
丁未羊年,29,April,2027,Thursday,星期四,三月廿三,我在何地,晴天,陰天,雨天,聽日係佛誕請假死線！未請嘅同事快手啦！,FALSE
丁未羊年,30,April,2027,Friday,星期五,三月廿四,我在何地,晴天,陰天,雨天,五一勞動節前夕，聽日放假，向所有勞動階層致敬！,FALSE
丁未羊年,1,May,2027,Saturday,星期六,三月廿五，勞動節,我在何地,晴天,陰天,雨天,公眾假期：勞動節勞動！今日放假天公地道！,ture
丁未羊年,2,May,2027,Sunday,星期日,三月廿六,我在何地,晴天,陰天,雨天,週末，好好享受假期放鬆下。,ture
丁未羊年,3,May,2027,Monday,星期一,三月廿七,我在何地,晴天,陰天,雨天,返工日子，調整心態，努力工作。,FALSE
丁未羊年,4,May,2027,Tuesday,星期二,三月廿八,我在何地,晴天,陰天,雨天,五月你好！準備迎接炎炎夏日未？,FALSE
丁未羊年,5,May,2027,Wednesday,星期三,三月廿九,我在何地,晴天,陰天,雨天,今日宜：飲杯凍飲。忌：急躁發脾氣。,FALSE
丁未羊年,6,May,2027,Thursday,星期四,四月初一，立夏,我在何地,晴天,陰天,雨天,四月初一，立夏：夏天正式開始！今日宜食雪糕消暑。,FALSE
丁未羊年,7,May,2027,Friday,星期五,四月初二,我在何地,晴天,陰天,雨天,本週最後一個工作天，聽日就係週末！,FALSE
丁未羊年,8,May,2027,Saturday,星期六,四月初三,我在何地,晴天,陰天,雨天,週末，約埋屋企人去飲茶。,ture
丁未羊年,9,May,2027,Sunday,星期日,四月初四,我在何地,晴天,陰天,雨天,母親節：祝天下母親節日快樂！記得同媽媽慶祝！,ture
丁未羊年,10,May,2027,Monday,星期一,四月初五,我在何地,晴天,陰天,雨天,星期一，為下一次嘅假期繼續努力打拼！,FALSE
丁未羊年,11,May,2027,Tuesday,星期二,四月初六,我在何地,晴天,陰天,雨天,今日請假嘅勇士，聽日就開始連放4日啦！恭喜！,FALSE
丁未羊年,12,May,2027,Wednesday,星期三,四月初七,我在何地,晴天,陰天,雨天,做埋今日就放假！心情興奮！記得裝Out of Office,FALSE
丁未羊年,13,May,2027,Thursday,星期四,四月初八，佛誕,我在何地,晴天,陰天,雨天,四月初八，公眾假期：佛誕快樂！享受一個寧靜嘅假期。,ture
丁未羊年,14,May,2027,Friday,星期五,四月初九,我在何地,晴天,陰天,雨天,請假Day 1：佛誕快閃中，請勿打擾。,FALSE
丁未羊年,15,May,2027,Saturday,星期六,四月初十,我在何地,晴天,陰天,雨天,請假Day 2：繼續Happy，盡情享受佛誕假期！,ture
丁未羊年,16,May,2027,Sunday,星期日,四月十一,我在何地,晴天,陰天,雨天,請假Day 3：假期最後一日，今晚早啲瞓養精蓄銳。,ture
丁未羊年,17,May,2027,Monday,星期一,四月十二,我在何地,晴天,陰天,雨天,返工第一日，相信大家都已經充好電，準備迎接挑戰！,FALSE
丁未羊年,18,May,2027,Tuesday,星期二,四月十三,我在何地,晴天,陰天,雨天,今日宜：飲咖啡提神。忌：同老細講我仲想放假。,FALSE
丁未羊年,19,May,2027,Wednesday,星期三,四月十四,我在何地,晴天,陰天,雨天,小滿前夕，天氣開始熱，小心身體唔好中暑。,FALSE
丁未羊年,20,May,2027,Thursday,星期四,四月十五,我在何地,晴天,陰天,雨天,520：記得對身邊嘅人表達愛意！,FALSE
丁未羊年,21,May,2027,Friday,星期五,四月十六，小滿,我在何地,晴天,陰天,雨天,本週最後一個工作天，聽日就係週末！,FALSE
丁未羊年,22,May,2027,Saturday,星期六,四月十七,我在何地,晴天,陰天,雨天,週末，好好放鬆心情，享受週末時光。,ture
丁未羊年,23,May,2027,Sunday,星期日,四月十八,我在何地,晴天,陰天,雨天,週末，約埋班Friend去沙灘或者郊遊。,ture
丁未羊年,24,May,2027,Monday,星期一,四月十九,我在何地,晴天,陰天,雨天,星期一，Monday Blue係正常嘅，唔好太介懷。,FALSE
丁未羊年,25,May,2027,Tuesday,星期二,四月二十,我在何地,晴天,陰天,雨天,努力工作，為嘅就係下一次嘅請假批准。,FALSE
丁未羊年,26,May,2027,Wednesday,星期三,四月廿一,我在何地,晴天,陰天,雨天,距離端午節（6月9日）仲有兩星期！,FALSE
丁未羊年,27,May,2027,Thursday,星期四,四月廿二,我在何地,晴天,陰天,雨天,今日宜：準時收工。忌：加班。,FALSE
丁未羊年,28,May,2027,Friday,星期五,四月廿三,我在何地,晴天,陰天,雨天,本週最後一個工作天，完成手頭工作準備過週末。,FALSE
丁未羊年,29,May,2027,Saturday,星期六,四月廿四,我在何地,晴天,陰天,雨天,週末，約埋班Friend去食Tea或者睇戲。,ture
丁未羊年,30,May,2027,Sunday,星期日,四月廿五,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週。,ture
丁未羊年,31,May,2027,Monday,星期一,四月廿六,我在何地,晴天,陰天,雨天,六月你好！端午節月正式開始！,FALSE
丁未羊年,1,June,2027,Tuesday,星期二,四月廿七,我在何地,晴天,陰天,雨天,六月你好！國際兒童節，祝各位大細路永遠保持童心！,FALSE
丁未羊年,2,June,2027,Wednesday,星期三,四月廿八,我在何地,晴天,陰天,雨天,距離端午節仲有7日，心已經飛咗去食粽！,FALSE
丁未羊年,3,June,2027,Thursday,星期四,四月廿九,我在何地,晴天,陰天,雨天,請假Alert：端午節請2放5行動！今日入紙請6/10-11！,FALSE
丁未羊年,4,June,2027,Friday,星期五,四月三十,我在何地,晴天,陰天,雨天,本週最後一個工作天，聽日就係週末！,FALSE
丁未羊年,5,June,2027,Saturday,星期六,五月初一,我在何地,晴天,陰天,雨天,週末，約埋屋企人去睇龍舟或者行街。,ture
丁未羊年,6,June,2027,Sunday,星期日,五月初二，芒種,我在何地,晴天,陰天,雨天,天氣炎熱，出街注意防曬降溫。,ture
丁未羊年,7,June,2027,Monday,星期一,五月初三,我在何地,晴天,陰天,雨天,星期一，調整心態，準備迎接後日端午假期。,FALSE
丁未羊年,8,June,2027,Tuesday,星期二,五月初四,我在何地,晴天,陰天,雨天,聽日就係端午節紅日啦！今晚早啲瞓！,FALSE
丁未羊年,9,June,2027,Wednesday,星期三,五月初五，端午,我在何地,晴天,陰天,雨天,公眾假期：端午節快樂！今日記得睇粽食龍舟！,ture
丁未羊年,10,June,2027,Thursday,星期四,五月初六,我在何地,晴天,陰天,雨天,請假Day 1：端午小休，叉足電再戰！,FALSE
丁未羊年,11,June,2027,Friday,星期五,五月初七,我在何地,晴天,陰天,雨天,請假Day 2：連放5日，爽歪歪！,FALSE
丁未羊年,12,June,2027,Saturday,星期六,五月初八,我在何地,晴天,陰天,雨天,週末，假期最後一日，好好享受。,ture
丁未羊年,13,June,2027,Sunday,星期日,五月初九,我在何地,晴天,陰天,雨天,放鬆心情，準備下星期嘅工作。,ture
丁未羊年,14,June,2027,Monday,星期一,五月初十,我在何地,晴天,陰天,雨天,星期一，Monday Blue正常發揮。,FALSE
丁未羊年,15,June,2027,Tuesday,星期二,五月十一,我在何地,晴天,陰天,雨天,努力工作，證明你雖然放過假，但仲有利用價值。,FALSE
丁未羊年,16,June,2027,Wednesday,星期三,五月十二,我在何地,晴天,陰天,雨天,距離下一個長假（七一）仲有半個月！,FALSE
丁未羊年,17,June,2027,Thursday,星期四,五月十三,我在何地,晴天,陰天,雨天,今日宜：飲珍珠奶茶獎勵自己。忌：諗起堆積如山嘅工作。,FALSE
丁未羊年,18,June,2027,Friday,星期五,五月十四,我在何地,晴天,陰天,雨天,本週最後一個工作天，聽日就係週末！,FALSE
丁未羊年,19,June,2027,Saturday,星期六,五月十五,我在何地,晴天,陰天,雨天,週末，開始諗下聽日父親節同爸爸食咩好。,ture
丁未羊年,20,June,2027,Sunday,星期日,五月十六,我在何地,晴天,陰天,雨天,父親節：祝天下爸爸節日快樂！記得同爸爸慶祝！,ture
丁未羊年,21,June,2027,Monday,星期一,五月十七，夏至,我在何地,晴天,陰天,雨天,五月十七，夏至：北半球白晝最長嘅一日，返工時間感覺特別長？,FALSE
丁未羊年,22,June,2027,Tuesday,星期二,五月十八,我在何地,晴天,陰天,雨天,【新年新開始】祝各位打工仔今年加薪不加班！,FALSE
丁未羊年,23,June,2027,Wednesday,星期三,五月十九,我在何地,晴天,陰天,雨天,今日宜：準時收工。忌：OT冇補水。,FALSE
丁未羊年,24,June,2027,Thursday,星期四,五月二十,我在何地,晴天,陰天,雨天,請假Alert：七一回歸請1放4行動！今日入紙請7/2！,FALSE
丁未羊年,25,June,2027,Friday,星期五,五月廿一,我在何地,晴天,陰天,雨天,本週過後，下個星期四就係七一假期啦！,FALSE
丁未羊年,26,June,2027,Saturday,星期六,五月廿二,我在何地,晴天,陰天,雨天,週末，心情已經飛咗去玩！,ture
丁未羊年,27,June,2027,Sunday,星期日,五月廿三,我在何地,晴天,陰天,雨天,最後一個週末準備日，諗好去邊玩未？,ture
丁未羊年,28,June,2027,Monday,星期一,五月廿四,我在何地,晴天,陰天,雨天,今個星期返工嘅唯一目標：交帶好手頭工作！,FALSE
丁未羊年,29,June,2027,Tuesday,星期二,五月廿五,我在何地,晴天,陰天,雨天,老細問起進度，統一回答：放完假返嚟先處理！,FALSE
丁未羊年,30,June,2027,Wednesday,星期三,五月廿六,我在何地,晴天,陰天,雨天,今日收工就係請1放4嘅大日子！大解放,FALSE
丁未羊年,1,July,2027,Thursday,星期四,五月廿七,我在何地,晴天,陰天,雨天,公眾假期：香港特別行政區成立紀念日，七一快樂！享受四日連假！,ture
丁未羊年,2,July,2027,Friday,星期五,五月廿八,我在何地,晴天,陰天,雨天,請假Day 1：七一快閃中，請勿打擾。,FALSE
丁未羊年,3,July,2027,Saturday,星期六,五月廿九,我在何地,晴天,陰天,雨天,請假Day 2：繼續Happy，盡情享受假期！,ture
丁未羊年,4,July,2027,Sunday,星期日,六月初一,我在何地,晴天,陰天,雨天,請假Day 3：假期最後一日，今晚早啲瞓養精蓄銳。,ture
丁未羊年,5,July,2027,Monday,星期一,六月初二,我在何地,晴天,陰天,雨天,返工第一日，相信大家都已經充好電，準備迎接挑戰！,FALSE
丁未羊年,6,July,2027,Tuesday,星期二,六月初三,我在何地,晴天,陰天,雨天,今日宜：飲咖啡提神。忌：同老細講我仲想放假。,FALSE
丁未羊年,7,July,2027,Wednesday,星期三,六月初四，小暑,我在何地,晴天,陰天,雨天,天氣開始炎熱，小心身體唔好中暑。,FALSE
